v1	V(n002)*I(V1)	I(V1)
4.440000000000025e-002	3.372049e-002	7.594704e-001
4.450000000000025e-002	3.379635e-002	7.594685e-001
4.460000000000025e-002	3.387221e-002	7.594666e-001
4.470000000000025e-002	3.394807e-002	7.594647e-001
4.480000000000026e-002	3.402393e-002	7.594628e-001
4.490000000000026e-002	3.409979e-002	7.594609e-001
4.500000000000026e-002	3.417565e-002	7.594590e-001
4.510000000000027e-002	3.425151e-002	7.594571e-001
4.520000000000027e-002	3.432737e-002	7.594551e-001
4.530000000000027e-002	3.440323e-002	7.594532e-001
4.540000000000027e-002	3.447909e-002	7.594513e-001
4.550000000000028e-002	3.455495e-002	7.594494e-001
4.560000000000028e-002	3.463081e-002	7.594475e-001
4.570000000000028e-002	3.470666e-002	7.594456e-001
4.580000000000029e-002	3.478252e-002	7.594437e-001
4.590000000000029e-002	3.485838e-002	7.594418e-001
4.600000000000029e-002	3.493423e-002	7.594399e-001
4.610000000000029e-002	3.501009e-002	7.594380e-001
4.620000000000030e-002	3.508595e-002	7.594361e-001
4.630000000000030e-002	3.516180e-002	7.594342e-001
4.640000000000030e-002	3.523766e-002	7.594323e-001
4.650000000000031e-002	3.531351e-002	7.594303e-001
4.660000000000031e-002	3.538936e-002	7.594284e-001
4.670000000000031e-002	3.546522e-002	7.594265e-001
4.680000000000031e-002	3.554107e-002	7.594246e-001
4.690000000000032e-002	3.561693e-002	7.594227e-001
4.700000000000032e-002	3.569278e-002	7.594208e-001
4.710000000000032e-002	3.576863e-002	7.594189e-001
4.720000000000033e-002	3.584448e-002	7.594170e-001
4.730000000000033e-002	3.592033e-002	7.594151e-001
4.740000000000033e-002	3.599619e-002	7.594132e-001
4.750000000000033e-002	3.607204e-002	7.594113e-001
4.760000000000034e-002	3.614789e-002	7.594094e-001
4.770000000000034e-002	3.622374e-002	7.594075e-001
4.780000000000034e-002	3.629959e-002	7.594056e-001
4.790000000000035e-002	3.637543e-002	7.594036e-001
4.800000000000035e-002	3.645128e-002	7.594017e-001
4.810000000000035e-002	3.652713e-002	7.593998e-001
4.820000000000035e-002	3.660298e-002	7.593979e-001
4.830000000000036e-002	3.667883e-002	7.593960e-001
4.840000000000036e-002	3.675467e-002	7.593941e-001
4.850000000000036e-002	3.683052e-002	7.593922e-001
4.860000000000037e-002	3.690637e-002	7.593903e-001
4.870000000000037e-002	3.698222e-002	7.593884e-001
4.880000000000037e-002	3.705806e-002	7.593865e-001
4.890000000000037e-002	3.713391e-002	7.593846e-001
4.900000000000038e-002	3.720975e-002	7.593827e-001
4.910000000000038e-002	3.728560e-002	7.593808e-001
4.920000000000038e-002	3.736144e-002	7.593789e-001
4.930000000000039e-002	3.743728e-002	7.593769e-001
4.940000000000039e-002	3.751313e-002	7.593750e-001
4.950000000000039e-002	3.758897e-002	7.593731e-001
4.960000000000039e-002	3.766481e-002	7.593712e-001
4.970000000000040e-002	3.774065e-002	7.593693e-001
4.980000000000040e-002	3.781650e-002	7.593674e-001
4.990000000000040e-002	3.789234e-002	7.593655e-001
5.000000000000041e-002	3.796818e-002	7.593636e-001
5.010000000000041e-002	3.804402e-002	7.593617e-001
5.020000000000041e-002	3.811986e-002	7.593598e-001
5.030000000000041e-002	3.819570e-002	7.593579e-001
5.040000000000042e-002	3.827154e-002	7.593560e-001
5.050000000000042e-002	3.834738e-002	7.593541e-001
5.060000000000042e-002	3.842322e-002	7.593521e-001
5.070000000000043e-002	3.849906e-002	7.593502e-001
5.080000000000043e-002	3.857489e-002	7.593483e-001
5.090000000000043e-002	3.865073e-002	7.593464e-001
5.100000000000043e-002	3.872657e-002	7.593445e-001
5.110000000000044e-002	3.880241e-002	7.593426e-001
5.120000000000044e-002	3.887824e-002	7.593407e-001
